NS 10
ROOT 0198
UHF -6,-1,-2,+5
LHF +8,+2,+3,+4
PHF +2,+2,+6,+7
ROOT 4734
UHF -6,-1,-2,+5
LHF +8,+2,+3,+4
PHF +2,+2,+6,+7
ROOT 5845
UHF -6,-1,-2,+5
LHF +8,+2,+3,+4
PHF +2,+2,+6,+7
ROOT 8268
UHF -6,-1,-2,+5
LHF +8,+2,+3,+4
PHF +2,+2,+6,+7
ROOT 5531
UHF -6,-1,-2,+5
LHF +8,+2,+3,+4
PHF +2,+2,+6,+7
ROOT 2642
UHF -6,-1,-2,+5
LHF +8,+2,+3,+4
PHF +2,+2,+6,+7
ROOT 0356
UHF -6,-1,-2,+5
LHF +8,+2,+3,+4
PHF +2,+2,+6,+7
ROOT 5975
UHF -6,-1,-2,+5
LHF +8,+2,+3,+4
PHF +2,+2,+6,+7
ROOT 8868
UHF -6,-1,-2,+5
LHF +8,+2,+3,+4
PHF +2,+2,+6,+7
ROOT 5643
UHF -6,-1,-2,+5
LHF +8,+2,+3,+4
PHF +2,+2,+6,+7
