NS 100
ROOT 0198
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4734
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 5845
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 8268
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 5531
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 2642
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 0356
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 5975
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 8868
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 5643
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 9245
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 1333
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 8134
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 3555
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7821
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 1467
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 0222
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7087
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 9919
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 5645
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 3757
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 3421
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 3313
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4532
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7089
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 5845
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 8808
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 1591
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4864
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 6776
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 3689
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4534
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7753
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 1399
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 2602
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 5665
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4666
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4420
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 3353
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7999
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7753
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4554
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 6754
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 1591
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 1265
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4864
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 6642
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 3689
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 0480
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 3353
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 6756
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 2578
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 9289
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7867
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 8208
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 0312
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7197
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4754
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 1421
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 6912
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 6888
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 8976
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 1421
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 5733
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 9089
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7067
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 8978
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 0086
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4824
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 5609
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 6912
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4424
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 1535
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 2512
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 9087
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7999
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4754
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 2312
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4864
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4756
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 3645
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4622
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7955
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 6710
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 1221
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 0356
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 3319
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 2310
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 0420
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7089
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 5643
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 4754
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 9245
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 9919
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 2646
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 2312
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 0312
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 9177
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 7089
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
ROOT 5845
UHF -6,+9,-2,+5
LHF +8,+2,-7,-6
PHF -8,+2,-4,-3
